N,Recursive,Memoized,Iterative DP,Matrix Exp,Binet,Iterative O(1)
5,6.875e-07,6.46e-07,2.915e-07,1.2295e-06,1.708e-06,1.67e-07
10,5.4379999999999994e-06,1.125e-06,4.58e-07,1.4375e-06,1.709e-06,2.2949999999999998e-07
20,0.0006230415,2.0834999999999996e-06,7.5e-07,1.854e-06,1.709e-06,3.75e-07
30,0.07329150000000001,2.9795e-06,1.0205e-06,2.4375e-06,1.625e-06,5e-07
50,X,4.875e-06,1.646e-06,2.812e-06,1.7085e-06,8.334999999999999e-07
100,X,9.812500000000001e-06,3.375e-06,2.917e-06,Overflow,1.646e-06
501,X,7.1854e-05,2.0020500000000003e-05,5.583e-06,Overflow,1.02495e-05
794,X,0.0001189375,3.4229e-05,6.438e-06,Overflow,1.8958499999999998e-05
1000,X,0.0001470625,4.41665e-05,6.708e-06,Overflow,2.5166999999999998e-05
1585,X,0.0002393545,7.908350000000001e-05,9.999999999999999e-06,Overflow,4.8042e-05
2512,X,0.00039966700000000003,0.0001457085,1.91045e-05,Overflow,9.035449999999999e-05
3981,X,X,0.00028581250000000004,3.2479e-05,Overflow,0.0001941045
5000,X,X,0.0004059165,4.0729500000000004e-05,Overflow,0.0002890625
7000,X,X,0.0007872915,6.297949999999999e-05,Overflow,0.000640146
10000,X,X,0.00163325,0.0001204795,Overflow,0.0012701455
15000,X,X,0.0033113545,0.0002103125,Overflow,0.0026463335
20000,X,X,0.0066252705000000005,0.0003760625,Overflow,0.0044671039999999995
